airflow-docker-compose-fec-airflow-scheduler-1  | 
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:45.929+0000] {settings.py:241} DEBUG - Setting up DB connection pool (PID 7)
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:45.930+0000] {settings.py:342} DEBUG - settings.prepare_engine_args(): Using pool settings. pool_size=5, max_overflow=10, pool_recycle=1800, pid=7
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:45.953+0000] {cli_action_loggers.py:41} DEBUG - Adding <function default_action_log at 0x7f95c4147ca0> to pre execution callback
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.566+0000] {serde.py:339} DEBUG - registering decimal.Decimal for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.566+0000] {serde.py:346} DEBUG - registering decimal.Decimal for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.567+0000] {serde.py:339} DEBUG - registering builtins.frozenset for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.567+0000] {serde.py:339} DEBUG - registering builtins.set for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.567+0000] {serde.py:339} DEBUG - registering builtins.tuple for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.567+0000] {serde.py:346} DEBUG - registering builtins.frozenset for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.567+0000] {serde.py:346} DEBUG - registering builtins.set for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:346} DEBUG - registering builtins.tuple for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:354} DEBUG - registering builtins.frozenset for stringifying
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:354} DEBUG - registering builtins.set for stringifying
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:354} DEBUG - registering builtins.tuple for stringifying
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:339} DEBUG - registering datetime.date for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.568+0000] {serde.py:339} DEBUG - registering datetime.datetime for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:339} DEBUG - registering datetime.timedelta for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:339} DEBUG - registering pendulum.datetime.DateTime for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:346} DEBUG - registering datetime.date for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:346} DEBUG - registering datetime.datetime for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:346} DEBUG - registering datetime.timedelta for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:346} DEBUG - registering pendulum.datetime.DateTime for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:339} DEBUG - registering deltalake.table.DeltaTable for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.569+0000] {serde.py:346} DEBUG - registering deltalake.table.DeltaTable for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.570+0000] {serde.py:354} DEBUG - registering deltalake.table.DeltaTable for stringifying
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.570+0000] {serde.py:339} DEBUG - registering pyiceberg.table.Table for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.570+0000] {serde.py:346} DEBUG - registering pyiceberg.table.Table for deserialization
